Class,Precision,Recall,F1_Score
A,0.5052631578947369,0.48,0.49230769230769234
B,0.7123287671232876,0.52,0.6011560693641619
C,0.8160919540229885,0.71,0.7593582887700535
D,0.6272727272727273,0.69,0.6571428571428571
E,0.6916666666666667,0.83,0.7545454545454545
F,0.8311688311688312,0.64,0.7231638418079096
G,0.6153846153846154,0.48,0.5393258426966292
H,0.6785714285714286,0.76,0.7169811320754716
I,0.4034090909090909,0.71,0.5144927536231884
J,0.7647058823529411,0.65,0.7027027027027027
K,0.8613861386138614,0.87,0.8656716417910447
L,0.576271186440678,0.34,0.4276729559748428
M,0.7685185185185185,0.83,0.7980769230769231
N,0.6896551724137931,0.4,0.5063291139240507
O,0.6388888888888888,0.92,0.7540983606557377
P,0.8210526315789474,0.78,0.8
Q,0.4782608695652174,0.55,0.5116279069767442
R,0.7029702970297029,0.71,0.7064676616915423
S,0.8877551020408163,0.87,0.8787878787878788
T,0.6363636363636364,0.56,0.5957446808510638
U,0.7105263157894737,0.81,0.7570093457943925
V,0.7407407407407407,0.8,0.7692307692307693
W,0.646551724137931,0.75,0.6944444444444444
X,0.8461538461538461,0.88,0.8627450980392157
Y,0.8076923076923077,0.63,0.7078651685393258
Z,0.89,0.89,0.89
